trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
102,False,"{'e': 0.358748297681892, 'a': 0.2}",20,11,-6.182237960114692,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
103,False,"{'e': 0.35516081470507305, 'a': 0.2}",20,5,-27.1457490075796,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
104,False,"{'e': 0.3516092065580223, 'a': 0.2}",20,13,-8.95581579297617,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
105,False,"{'e': 0.34809311449244207, 'a': 0.2}",20,0,-30.0279135011445,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
106,False,"{'e': 0.34461218334751764, 'a': 0.2}",30,0,-107.7362123198578,"{0: 24, 1: 2, 2: 1, 3: 0, 4: 3}",0
107,False,"{'e': 0.34116606151404244, 'a': 0.2}",25,8,2.278270868140834,"{0: 14, 1: 3, 2: 0, 3: 0, 4: 0}",1
108,False,"{'e': 0.337754400898902, 'a': 0.2}",30,4,-50.403595198190814,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 2}",1
109,False,"{'e': 0.334376856889913, 'a': 0.2}",20,0,-85.17541216958222,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
110,False,"{'e': 0.33103308832101386, 'a': 0.2}",30,13,-14.867699054359178,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
111,False,"{'e': 0.3277227574378037, 'a': 0.2}",30,21,-7.857180422090413,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
112,False,"{'e': 0.3244455298634257, 'a': 0.2}",30,12,-49.304046727599776,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 1}",1
113,False,"{'e': 0.3212010745647914, 'a': 0.2}",35,17,-1.9113451826741181,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
114,False,"{'e': 0.3179890638191435, 'a': 0.2}",20,2,-39.80474895575188,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
115,False,"{'e': 0.31480917318095203, 'a': 0.2}",20,7,10.115397723678655,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
116,False,"{'e': 0.3116610814491425, 'a': 0.2}",25,1,2.8453237146270203,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 0}",1
117,False,"{'e': 0.30854447063465107, 'a': 0.2}",25,12,12.6976319998298,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
118,False,"{'e': 0.30545902592830454, 'a': 0.2}",25,0,5.249840269411815,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
119,False,"{'e': 0.3024044356690215, 'a': 0.2}",25,3,-6.3991649348252135,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 0}",1
120,False,"{'e': 0.29938039131233124, 'a': 0.2}",20,7,0.7231234438201677,"{0: 10, 1: 3, 2: 0, 3: 0, 4: 0}",1
121,False,"{'e': 0.2963865873992079, 'a': 0.2}",25,5,10.806957857562548,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
122,False,"{'e': 0.29342272152521587, 'a': 0.2}",35,28,13.25687753090066,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'e': 0.2904884943099637, 'a': 0.2}",25,5,-31.000733991271,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
124,False,"{'e': 0.28758360936686406, 'a': 0.2}",20,0,-82.48293837250782,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
125,False,"{'e': 0.2847077732731954, 'a': 0.2}",25,0,29.64112625213765,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
126,False,"{'e': 0.28186069554046345, 'a': 0.2}",25,0,-22.957991817933785,"{0: 21, 1: 3, 2: 0, 3: 0, 4: 1}",0
127,False,"{'e': 0.2790420885850588, 'a': 0.2}",25,16,15.893371367497627,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'e': 0.2762516676992082, 'a': 0.2}",20,0,-21.32442963572495,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
129,False,"{'e': 0.27348915102221616, 'a': 0.2}",25,9,26.952259140584957,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'e': 0.270754259511994, 'a': 0.2}",25,16,-1.08601367754434,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
131,False,"{'e': 0.26804671691687404, 'a': 0.2}",30,22,4.28090323423423,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
132,False,"{'e': 0.2653662497477053, 'a': 0.2}",20,12,14.687797282248152,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
